,,,,,,"C-23 DISABLED POPULATION AMONG MAIN WORKERS, MARGINAL WORKERS, NON-WORKERS BY TYPE OF DISABILITY, AGE AND SEX",,,,,,,,,,,,,,,
Table,State,Distt.,Area Name,Total/,Disability,Age,,,,,,,,,,,,,,,
Name,Code,Code,,Rural/,,group,Total disabled population,,,Main worker,,,Marginal worker,,,Marginal worker,,,Non-worker,,
,,,,,,,,,,,,,Less than 3 months,,,3-6 months,,,,,
,,,,Urban/,,,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females
,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,,,,,,,,,,,,,,,,,,,,,
C2223,0,0,INDIA,Total,Total,Total,26814994,14988593,11826401,6982009,5464857,1517152,589861,330999,258862,2172516,1276969,895547,17070608,7915768,9154840
C2223,0,0,INDIA,Total,Total,0-14,5572336,3073214,2499122,100779,61870,38909,29034,15517,13517,98226,53125,45101,5344297,2942702,2401595
C2223,0,0,INDIA,Total,Total,15-59,15728243,9125226,6603017,5808809,4559220,1249589,419745,237652,182093,1714444,1010364,704080,7785245,3317990,4467255
C2223,0,0,INDIA,Total,Total,60+,5376619,2713995,2662624,1036384,816764,219620,138808,76515,62293,346540,205807,140733,3854887,1614909,2239978
C2223,0,0,INDIA,Total,Total,Age not stated,137796,76158,61638,36037,27003,9034,2274,1315,959,13306,7673,5633,86179,40167,46012
C2223,0,0,INDIA,Total,In-Seeing,Total,5033431,2639028,2394403,1346788,1045667,301121,116887,60091,56796,428244,240276,187968,3141512,1292994,1848518
C2223,0,0,INDIA,Total,In-Seeing,0-14,1044348,555599,488749,18444,11277,7167,5152,2716,2436,19141,10308,8833,1001611,531298,470313
C2223,0,0,INDIA,Total,In-Seeing,15-59,2605217,1433200,1172017,1055222,822461,232761,72894,37327,35567,314343,176126,138217,1162758,397286,765472
C2223,0,0,INDIA,Total,In-Seeing,60+,1359385,637136,722249,266490,206951,59539,38400,19787,18613,92223,52414,39809,962272,357984,604288
C2223,0,0,INDIA,Total,In-Seeing,Age not stated,24481,13093,11388,6632,4978,1654,441,261,180,2537,1428,1109,14871,6426,8445
C2223,0,0,INDIA,Total,In-Hearing,Total,5072914,2678584,2394330,1457022,1117992,339030,115668,59007,56661,489368,267084,222284,3010856,1234501,1776355
C2223,0,0,INDIA,Total,In-Hearing,0-14,1177204,617214,559990,27500,16368,11132,7120,3584,3536,28995,15136,13859,1113589,582126,531463
C2223,0,0,INDIA,Total,In-Hearing,15-59,2842382,1537949,1304433,1184601,909971,274630,78588,39395,39193,376646,203709,172937,1202547,384874,817673
C2223,0,0,INDIA,Total,In-Hearing,60+,1022430,506829,515601,236706,185455,51251,29467,15758,13709,80192,46286,33906,676065,259330,416735
C2223,0,0,INDIA,Total,In-Hearing,Age not stated,30898,16592,14306,8215,6198,2017,493,270,223,3535,1953,1582,18655,8171,10484
C2223,0,0,INDIA,Total,In-Speech,Total,1998692,1122987,875705,643201,487333,155868,37824,21187,16637,158233,91659,66574,1159434,522808,636626
C2223,0,0,INDIA,Total,In-Speech,0-14,476789,270694,206095,10124,6250,3874,2705,1544,1161,7577,4266,3311,456383,258634,197749
C2223,0,0,INDIA,Total,In-Speech,15-59,1305957,732663,573294,564620,428791,135829,30566,17027,13539,134287,77578,56709,576484,209267,367217
C2223,0,0,INDIA,Total,In-Speech,60+,203614,112745,90869,64213,49187,15026,4377,2513,1864,15239,9133,6106,119785,51912,67873
C2223,0,0,INDIA,Total,In-Speech,Age not stated,12332,6885,5447,4244,3105,1139,176,103,73,1130,682,448,6782,2995,3787
C2223,0,0,INDIA,Total,In-Movement,Total,5436826,3370501,2066325,1505558,1248012,257546,126714,81022,45692,402604,272101,130503,3401950,1769366,1632584
C2223,0,0,INDIA,Total,In-Movement,0-14,627488,378811,248677,8043,5584,2459,3343,1945,1398,6540,3941,2599,609562,367341,242221
C2223,0,0,INDIA,Total,In-Movement,15-59,3434806,2234746,1200060,1282372,1063953,218419,91740,59967,31773,325430,221878,103552,1735264,888948,846316
C2223,0,0,INDIA,Total,In-Movement,60+,1359263,747729,611534,211216,175306,35910,31349,18932,12417,69422,45474,23948,1047276,508017,539259
C2223,0,0,INDIA,Total,In-Movement,Age not stated,15269,9215,6054,3927,3169,758,282,178,104,1212,808,404,9848,5060,4788
C2223,0,0,INDIA,Total,Mental-Retardation,Total,1505964,870898,635066,210280,163123,47157,27952,17336,10616,84053,51839,32214,1183679,638600,545079
C2223,0,0,INDIA,Total,Mental-Retardation,0-14,395634,228685,166949,4693,2894,1799,1947,1098,849,4257,2390,1867,384737,222303,162434
C2223,0,0,INDIA,Total,Mental-Retardation,15-59,1014913,592125,422788,187553,146241,41312,23744,14950,8794,73476,45692,27784,730140,385242,344898
C2223,0,0,INDIA,Total,Mental-Retardation,60+,90025,46952,43073,17148,13311,3837,2183,1239,944,5916,3505,2411,64778,28897,35881
C2223,0,0,INDIA,Total,Mental-Retardation,Age not stated,5392,3136,2256,886,677,209,78,49,29,404,252,152,4024,2158,1866
C2223,0,0,INDIA,Total,Mental-Illness,Total,722880,415758,307122,95053,74464,20589,17326,10954,6372,42155,26455,15700,568346,303885,264461
C2223,0,0,INDIA,Total,Mental-Illness,0-14,80062,47062,33000,1035,680,355,435,240,195,946,550,396,77646,45592,32054
C2223,0,0,INDIA,Total,Mental-Illness,15-59,548523,323065,225458,83741,65934,17807,15032,9610,5422,37151,23511,13640,412599,224010,188589
